Тикер;Класс;|Мин уровень объема в лотах на бидах|;|Продать объем в лотах|;|Лотов подряд|
LQDT;TQTF_F;|100|;|1|;|25600|
LSRG;TQBR;|0|;|1|;|3095|
AMEZ;TQBR;|8021|;|1|;|10|
