Тикер;Класс;|Мин уровень объема в лотах на бидах|;|Продать объем в лотах|;|Лотов подряд|
GMKN;TQBR;|10|;|1|;|100|
LSRG;TQBR;|0|;|1|;|3095|
AMEZ;TQBR;|8021|;|1|;|10|
